"timestamp","dataset","stage","n"
"2026-08-09 15:55:51","occ_puma","union_raw",2119
"2026-08-09 15:55:51","occ_puma","clipped",2031
"2026-08-09 15:55:51","occ_puma","precise",1028
"2026-08-09 15:55:51","occ_puma","obscured",1003
"2026-08-09 15:55:51","occ_bobc","union_raw",6504
"2026-08-09 15:55:51","occ_bobc","clipped",6232
"2026-08-09 15:55:51","occ_bobc","precise",4420
"2026-08-09 15:55:51","occ_bobc","obscured",1812
"2026-08-10 14:22:51","occ_puma","union_raw",2119
"2026-08-10 14:22:51","occ_puma","clipped",2031
"2026-08-10 14:22:51","occ_puma","precise",1028
"2026-08-10 14:22:51","occ_puma","obscured",1003
"2026-08-10 14:22:51","occ_bobc","union_raw",6504
"2026-08-10 14:22:51","occ_bobc","clipped",6232
"2026-08-10 14:22:51","occ_bobc","precise",4420
"2026-08-10 14:22:51","occ_bobc","obscured",1812
"2026-08-10 14:28:01","cov_housing","blocks_loaded",91223
"2026-08-10 14:28:01","openspace","units_loaded",1129
"2026-08-10 15:42:16","stack_occu","units",1129
"2026-08-10 15:47:11","stack_puma_grid_1km","grid_cells",19276
"2026-08-10 15:53:32","stack_bobc_grid_500m","grid_cells",76437
"2026-08-10 16:00:59","cov_housing","blocks_loaded",91223
"2026-08-10 16:00:59","openspace","units_loaded",1129
"2026-08-10 16:05:10","stack_occu","units",1129
"2026-08-10 16:11:00","stack_puma_grid_1km","grid_cells",20410
"2026-08-10 16:18:37","stack_bobc_grid_500m","grid_cells",79928
"2026-08-12 15:51:37","roads","all_loaded",936784
"2026-08-12 15:51:37","roads","major_loaded",79804
"2026-08-12 15:51:37","aadt","stations",2423
"2026-08-12 16:00:45","roads","all_loaded",936784
"2026-08-12 16:00:45","roads","major_loaded",79804
"2026-08-12 16:00:45","aadt","stations",2423
"2026-08-12 16:12:11","roads","all_loaded",936784
"2026-08-12 16:12:11","roads","major_loaded",79804
"2026-08-12 16:12:11","aadt","stations",2423
"2026-08-15 16:42:47","dh_bobc","histories_built",4
"2026-08-15 16:55:08","dh_bobc","histories_built",4
"2026-08-16 10:14:41","kde_puma","precise_points",1028
"2026-08-16 10:14:43","kde_bobc","precise_points",4420
"2026-08-16 10:27:45","kde_puma","precise_points",1028
"2026-08-16 10:27:47","kde_bobc","precise_points",4420
"2026-08-16 10:47:43","kde_puma","precise_points",1028
"2026-08-16 10:47:44","kde_bobc","precise_points",4420
"2026-08-16 10:54:48","kde_puma","precise_points",1028
"2026-08-16 10:54:49","kde_bobc","precise_points",4420
"2026-08-16 11:02:21","kde_puma","precise_points",1028
"2026-08-16 11:02:23","kde_bobc","precise_points",4420
"2026-08-16 11:21:23","kde_puma","precise_points",1028
"2026-08-16 11:21:24","kde_bobc","precise_points",4420
