"unit_id","county","hab_area_km2","unit_name","n_occ","effort_years","gistar_z","hotspot","q5_flag","n_total","n_obscured","obscured_frac","kde_mean","kde_max","bobc_detected"
7,"Santa Clara",14.6733217172247,"Calero County Park",22,16,0.22328009762205,"ns",NA,22,0,0,0.0000000611379817883062,0.000000197264100165739,1
16,"Santa Clara",46.9815833018012,"Sierra Azul Open Space Preserve",3,12,0.409133882087645,"ns",NA,3,0,0,0.000000019985394672517,0.000000395561301047564,1
27,"Santa Clara",1.17027804380227,"Rancho San Antonio Open Space Preserve",10,14,0.644545973106113,"ns",NA,9,0,0,0.000000242659069726869,0.000000412968091723087,1
32,"Santa Clara",8.69289478302082,"Rancho San Antonio Open Space Preserve",18,17,0.915016544165085,"ns",NA,18,1,0.0555555555555556,0.000000250404923463066,0.000000766362290960387,1
69,"San Mateo",0.124577799596895,"Red Morton Community Park",0,3,-0.244375848168457,"ns",NA,0,0,NA,0.0000000000452960030594696,0.000000000053138667077679,0
75,"Alameda",4.08655124469429,"Reinhardt Redwood Regional Park",2,12,-0.291150477619307,"ns",NA,2,0,0,0.000000740359041628835,0.000000926361735764658,1
79,"San Mateo",0.257042581102171,"Redwood Shores Ecological Reserve",0,11,-0.391574436040347,"ns",NA,1,1,1,0.000000107638818747091,0.000000168504129760549,0
141,"Contra Costa",0.101481775778572,"Richmond",0,7,0.281664311004216,"ns",NA,0,0,NA,0.00000000000313019857429986,0.00000000000400515775059174,0
166,"Marin",1.57464983352602,"Ring Mountain Open Space Preserve",1,14,-0.440800465989,"ns",NA,1,0,0,0.00000000324559468189989,0.0000000182148305327701,1
181,"Santa Clara",0.178453931382849,"River Oaks",0,1,-0.285273581243837,"ns",NA,0,0,NA,0.00000000719134662929832,0.0000000215461639641035,0
185,"Alameda",0.880183556756031,"Augustin Bernal Park",0,5,0.056015745559943,"ns",NA,0,0,NA,0.0000126548266052851,0.0000154881981870858,0
198,"Solano",0.328066203859312,"River Park",0,2,-0.409291245173099,"cold",NA,0,0,NA,0.000000195565661442743,0.000000234534411447385,0
211,"Alameda",0.124880768597021,"Robert Livermore Park",0,1,-0.119875720641227,"ns",NA,0,0,NA,0.00000135959885483317,0.00000135959885483317,0
214,"Napa",16.3715139705841,"Robert Louis Stevenson State Park",0,10,-0.473243053810798,"cold",NA,2,2,1,0.00000019165727849213,0.000000457213161553227,0
218,"Alameda",0.395822990314039,"Robertson Park",0,5,-0.00180463511981089,"ns",NA,0,0,NA,0.00000105178014564444,0.00000143224337989523,0
223,"Solano",2.95187931290062,"Rockville Hills Regional Park",3,14,-0.356140817774844,"cold",NA,3,0,0,NA,NA,1
280,"Contra Costa",8.28006881647229,"Round Valley Regional Preserve",4,16,-0.178972726447328,"ns",NA,4,0,0,NA,NA,1
289,"Alameda",0.183075466300017,"Rowell Ranch Rodeo Park",0,0,-0.0987501133971544,"ns",NA,0,0,NA,0.0000000981303642788589,0.000000151483320109946,NA
294,"Marin",1.1404198720217,"Roy's Redwoods Open Space Preserve",0,10,-0.148137141378554,"ns",NA,0,0,NA,0.000000363286517313099,0.000000794561344719114,0
299,"Marin",1.97633624667861,"Rush Creek Open Space Preserve",0,5,-0.586671550907319,"ns",NA,0,0,NA,NA,NA,0
303,"Alameda",0.84865865985535,"Bethany Reservoir State Recreation Area",0,0,-0.373857626907596,"ns",NA,0,0,NA,NA,NA,NA
308,"Solano",8.5847216412503,"Rush Ranch Open Space",0,15,-0.409291245173099,"cold",NA,0,0,NA,NA,NA,0
315,"Contra Costa",1.00090284632505,"Russell Research Station (UC)",0,4,0.0336289831456925,"ns",NA,0,0,NA,NA,NA,0
321,"San Mateo",4.92818962248237,"Russian Ridge Open Space Preserve",14,14,0.601813090265053,"ns",NA,16,2,0.125,0.000000165535226415159,0.00000103527679584658,1
347,"Sonoma",18.0061184343355,"Salt Point State Park",0,15,-0.232123153845582,"ns",NA,0,0,NA,0.000000160523271119928,0.000000433069402561159,0
