"unit_id","county","hab_area_km2","unit_name","n_occ","effort_years","gistar_z","hotspot","q5_flag","n_total","n_obscured","obscured_frac","kde_mean","kde_max"
7,"Santa Clara",14.6733217172247,"Calero County Park",7,16,0.138822969961711,"ns",NA,9,2,0.222222222222222,0.000000154080780134791,0.000000178877996859228
16,"Santa Clara",46.9815833018012,"Sierra Azul Open Space Preserve",2,12,0.220021640348457,"ns",NA,4,2,0.5,0.0000000499597199166146,0.000000113687505631788
27,"Santa Clara",1.17027804380227,"Rancho San Antonio Open Space Preserve",0,14,0.220021640348457,"ns",NA,0,0,NA,0.000000120912417855834,0.000000164190893769955
32,"Santa Clara",8.69289478302082,"Rancho San Antonio Open Space Preserve",2,17,0.561778446710953,"hot","occ_hot_effort_hot_SUSPECT",2,0,0,0.000000262484292079534,0.000000397381768380001
69,"San Mateo",0.124577799596895,"Red Morton Community Park",0,3,-0.070302934520951,"ns",NA,0,0,NA,0.0000000256662673336905,0.0000000256920795749238
75,"Alameda",4.08655124469429,"Reinhardt Redwood Regional Park",1,12,-0.232109026930301,"ns",NA,1,0,0,0.0000000232573960090576,0.0000000419044425825632
79,"San Mateo",0.257042581102171,"Redwood Shores Ecological Reserve",0,11,-0.209863757372676,"cold",NA,0,0,NA,0.00000000885297524177986,0.0000000106271444977324
141,"Contra Costa",0.101481775778572,"Richmond",0,7,-0.209863757372676,"cold",NA,0,0,NA,0.00000000307430059187652,0.00000000336892669317024
166,"Marin",1.57464983352602,"Ring Mountain Open Space Preserve",0,14,-0.280696895853321,"cold",NA,0,0,NA,0.0000000287786416919289,0.0000000328788622994125
181,"Santa Clara",0.178453931382849,"River Oaks",0,1,-0.174094406214199,"ns",NA,0,0,NA,0.00000000780215536622109,0.00000000994600135584278
185,"Alameda",0.880183556756031,"Augustin Bernal Park",0,5,-0.187365701928555,"ns",NA,0,0,NA,0.0000000143430431975844,0.0000000159488386941575
198,"Solano",0.328066203859312,"River Park",0,2,-0.209863757372676,"cold",NA,0,0,NA,0.000000133272635594039,0.000000136318135446345
211,"Alameda",0.124880768597021,"Robert Livermore Park",0,1,-0.180617520732422,"ns",NA,0,0,NA,0.0000000000496241069070091,0.0000000000496241069070091
214,"Napa",16.3715139705841,"Robert Louis Stevenson State Park",0,10,-0.242654995909454,"cold",NA,1,1,1,0.000000125638138115391,0.000000157016458501857
218,"Alameda",0.395822990314039,"Robertson Park",1,5,-0.138325055055722,"ns",NA,0,0,NA,0.000000000132826805110398,0.000000000174107131489798
223,"Solano",2.95187931290062,"Rockville Hills Regional Park",0,14,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
280,"Contra Costa",8.28006881647229,"Round Valley Regional Preserve",0,16,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
289,"Alameda",0.183075466300017,"Rowell Ranch Rodeo Park",0,0,-0.0611277055853553,"ns",NA,0,0,NA,0.0000000815442504631392,0.0000000980419940788124
294,"Marin",1.1404198720217,"Roy's Redwoods Open Space Preserve",0,10,-0.135069979053104,"ns",NA,0,0,NA,0.0000000480827644366855,0.000000050458567102396
299,"Marin",1.97633624667861,"Rush Creek Open Space Preserve",0,5,-0.330037075964696,"cold",NA,0,0,NA,NA,NA
303,"Alameda",0.84865865985535,"Bethany Reservoir State Recreation Area",0,0,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
308,"Solano",8.5847216412503,"Rush Ranch Open Space",0,15,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
315,"Contra Costa",1.00090284632505,"Russell Research Station (UC)",0,4,-0.138325055055722,"ns",NA,0,0,NA,NA,NA
321,"San Mateo",4.92818962248237,"Russian Ridge Open Space Preserve",13,14,1.0584125786502,"hot","occ_hot_effort_hot_SUSPECT",14,1,0.0714285714285714,0.000000348845730968605,0.000000420700786207817
347,"Sonoma",18.0061184343355,"Salt Point State Park",0,15,-0.138325055055722,"ns",NA,0,0,NA,0.00000101897330750944,0.00000118296009077312
353,"San Mateo",3.21819504372464,"Sam McDonald Park",3,9,0.901202733461345,"hot","occ_hot_effort_not_TRUSTED",2,0,0,0.000000121468076486053,0.000000179319926019161
358,"Marin",10.3386239657238,"Samuel P. Taylor State Park",1,14,0.00475234957818558,"ns",NA,1,0,0,0.0000000356463338846424,0.0000000471669245882822
372,"San Mateo",0.117901239756017,"San Bruno City Park",0,4,-0.209863757372676,"cold",NA,0,0,NA,0.000000000576706293831108,0.000000000598404048535173
378,"San Mateo",0.378200061485235,"San Bruno Mountain Ecological Reserve",0,8,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
393,"Sonoma",0.106900260289144,"San Francisco Archdiocese",0,0,-0.138325055055722,"ns",NA,0,0,NA,0.0000000147013263784856,0.0000000147033842878841
402,"Santa Clara",57.4303313498671,"San Francisco Watershed Lands",0,8,0.0762910518951394,"ns",NA,1,1,1,0.00000000467515359758863,0.0000000103731068179513
413,"San Mateo",1.05419759614862,"San Gregorio State Beach",0,3,0.00475234957818558,"ns",NA,0,0,NA,0.00000000625385832009329,0.0000000067805228098905
421,"San Mateo",0.730850871846965,"San Gregorio State Beach",0,3,0.00475234957818558,"ns",NA,0,0,NA,0.00000000578390180194788,0.0000000067805228098905
441,"Alameda",0.127439698005242,"San Lorenzo Community Park",0,1,-0.209863757372676,"cold",NA,0,0,NA,0.0000000625341201043739,0.0000000634371986052429
455,"San Mateo",0.447683975329434,"San Mateo Properties",0,2,-0.209863757372676,"cold",NA,0,0,NA,0.0000000107471560539807,0.0000000135585560556706
461,"Sonoma",3.06198838074724,"San Pablo Bay National Wildlife Refuge",0,6,-0.174094406214199,"ns",NA,0,0,NA,0.0000000302054203871194,0.000000035784886165402
470,"San Mateo",3.14247236177163,"Big Basin Redwoods State Park",0,4,-0.0855188663593018,"ns",NA,0,0,NA,0.00000002415413291601,0.000000045740673471073
491,"Marin",1.50564761191256,"San Pedro Mountain Open Space Preserve",0,4,-0.284012883923671,"ns",NA,0,0,NA,0.0000000048028101495845,0.00000000652787068844418
499,"San Mateo",5.16856200720077,"San Pedro Valley Park",0,16,0.0538463545660252,"ns",NA,1,1,1,0.00000000352330631336883,0.00000000450636150617356
516,"Santa Clara",0.666423803360394,"Lexington Reservoir",0,0,0.0617144259461704,"ns",NA,0,0,NA,0.0000000678800375908395,0.000000080235984967203
520,"Solano",0.146718555985344,"Sandy Beach Park",0,0,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
542,"Santa Clara",6.69716848015362,"Santa Teresa County Park",0,14,-0.0805099906227829,"ns",NA,0,0,NA,0.00000015158543931193,0.000000175994415485548
546,"Marin",0.130853985680166,"Santa Venetia Marsh Open Space Preserve",0,1,-0.32297196499353,"ns",NA,0,0,NA,0.00000000364730001756186,0.00000000364730001756186
