"unit_id","psi_pred","psi_se","psi_src","hotspot","q5_flag","bobc_detected","kde_mean","kde_max","psi_q5"
7,0.899542020266032,0.0370310069544813,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000611379817883062,0.000000197264100165739,4
16,0.995404800042255,0.00553229363040713,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000019985394672517,0.000000395561301047564,5
27,0.592719615825501,0.0865747691177126,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000242659069726869,0.000000412968091723087,3
32,0.954307374236773,0.0269810881320485,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000250404923463066,0.000000766362290960387,5
69,0.0996365565684046,0.0358300964143839,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000000000452960030594696,0.000000000053138667077679,1
75,0.902664775897178,0.0521859184938192,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000740359041628835,0.000000926361735764658,4
79,0.111281954317167,0.0321984923096858,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000107638818747091,0.000000168504129760549,1
141,0.193686558473019,0.0502048061066531,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000000313019857429986,0.00000000000400515775059174,1
166,0.618105959298307,0.0746598243959284,"modavg[m_full+m_fullgrad]","ns",NA,1,0.00000000324559468189989,0.0000000182148305327701,3
181,0.179061338836174,0.0440217954807547,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000719134662929832,0.0000000215461639641035,1
185,0.95799125457838,0.0322387536035879,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000126548266052851,0.0000154881981870858,5
198,0.126316395986846,0.0364103851748097,"modavg[m_full+m_fullgrad]","cold",NA,0,0.000000195565661442743,0.000000234534411447385,1
211,0.309440360400588,0.139315951004195,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000135959885483317,0.00000135959885483317,2
214,0.996027847454181,0.00539308963849091,"modavg[m_full+m_fullgrad]","cold",NA,0,0.00000019165727849213,0.000000457213161553227,5
218,0.340247358475982,0.12736281802229,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000105178014564444,0.00000143224337989523,2
223,0.563963254857966,0.0599612989271989,"modavg[m_full+m_fullgrad]","cold",NA,1,NA,NA,3
280,0.866335441270338,0.0497317847190289,"modavg[m_full+m_fullgrad]","ns",NA,1,NA,NA,4
294,0.788907790814241,0.0726168623729569,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000363286517313099,0.000000794561344719114,3
299,0.515138947493677,0.0969491546179042,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,3
308,0.311232059691242,0.0972888105475868,"modavg[m_full+m_fullgrad]","cold",NA,0,NA,NA,2
315,0.931936223941538,0.0418464579279659,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,4
321,0.994090641996014,0.00925538389521978,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000165535226415159,0.00000103527679584658,5
347,0.833021787704081,0.0854756044652704,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000160523271119928,0.000000433069402561159,4
353,0.919133605466122,0.0522007276743094,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000882872015495195,0.00000012531936022242,4
358,0.864637924830898,0.052623329578248,"modavg[m_full+m_fullgrad]","hot","occ_hot_effort_not_TRUSTED",1,0.0000000303231040277296,0.000000368061478184245,4
372,0.200438631244283,0.0692544794528273,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000000000000000635715563779886,0.0000000000000000000837330247916024,1
378,0.628400479871579,0.131215359210656,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,3
402,0.981009010753734,0.0174248012772474,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000817058349866784,0.00000107545986338664,5
413,0.664104940354749,0.0938272028555451,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000194794735897119,0.00000000606016037352219,3
421,0.479733552459194,0.0880435596093376,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000000656717902280946,0.00000000382747300520236,2
441,0.0843524461983553,0.0370006887708261,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000301413365377812,0.000000321670313496725,1
455,0.128708918323821,0.0356071339905209,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000000335875489747284,0.00000000000972971963414393,1
461,0.173527022668884,0.0576840050930476,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000000058725871387999,0.000000000292988439065667,1
470,0.966545214999499,0.0340474922774377,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000480285011761339,0.0000000716976558123861,5
491,0.828773353122666,0.0880001379850684,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000000000000441602984515775,0.0000000000000000824801376413529,4
499,0.918112146771132,0.0412046544915909,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000000000221462049545228,0.00000000000131269691297509,4
542,0.777438839936079,0.0745553888988173,"modavg[m_full+m_fullgrad]","ns",NA,1,0.00000000573160097161463,0.000000064039312519526,3
546,0.193100272472614,0.0480015089702802,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,1
563,0.996144520534302,0.00592494538289299,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000236125615060701,0.000000449823062353971,5
581,0.992114032071939,0.0110811120842506,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000226968666083849,0.000000106171157199242,5
586,0.0798232389455376,0.0293515170135358,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000210077416795684,0.000000254949185318765,1
602,0.0861896231582831,0.0320229952202708,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000000000000313837494281447,0.0000000000000000114634734200794,1
604,0.304779479903194,0.0869937028263408,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000148156715340519,0.00000219869366446801,2
606,0.0921330012792199,0.0339753377109225,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000108957124211884,0.000000111413939407612,1
628,0.507411447200695,0.120225317476009,"modavg[m_full+m_fullgrad]","cold",NA,1,NA,NA,3
650,0.597118349267332,0.0948686330566125,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000818312599903948,0.000000834701836538443,3
669,0.157319000145303,0.105403491912153,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000000015644745969632,0.000000000000989583523632043,1
678,0.142526512099103,0.0448998305125283,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000000749203579175628,0.000000102192792894584,1
714,0.0767090075253697,0.0462814763556284,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000000000647918394283686,0.0000000000278303179113149,1
734,0.833042812606708,0.0634307753275094,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000802937563548767,0.00000189189347565843,4
741,0.734405735034417,0.0791545549529862,"modavg[m_full+m_fullgrad]","ns",NA,1,NA,NA,3
746,0.833493590827691,0.0825226643509593,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000331680325871275,0.000000616974261902214,4
750,0.800180245046525,0.0691901858490349,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000265346898231655,0.000000547118645499722,4
767,0.12699105137632,0.053044987561821,"modavg[m_full+m_fullgrad]","cold",NA,0,0.000000000433616031969564,0.00000000155301771442851,1
780,0.995269762653901,0.00565587785547151,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000186814013147796,0.000000325702018244556,5
805,0.317618746589992,0.0894087048390464,"modavg[m_full+m_fullgrad]","cold",NA,0,0.000000173057600250104,0.000000288189625052837,2
