"weak_rank","from_patch","to_patch","cost_distance","length_km","cost_per_km"
1,1053,1899,1063.19449138641,60.730126562241,17.5068709974903
2,1053,3289,804.430788040161,41.6634371573693,19.3078354289806
3,752,1899,728.592714309692,47.549786674742,15.3227336074825
4,2618,3289,707.674230575562,105.687554089736,6.6959088671377
5,752,1053,677.440893173218,25.5967477524977,26.4658971414489
6,488,3497,581.310960769653,59.730126562241,9.73229079238441
7,2618,3455,572.524321556091,82.5050198996119,6.93926651072518
8,2618,3863,435.834404945374,65.4383304947403,6.66023111607965
9,834,3497,433.709163665771,68.4962528873668,6.33186700561489
10,1869,3497,327.113998413086,44.485291572496,7.35330683131525
11,3138,3289,308.437267303467,17.6524758424985,17.4727483020201
12,49,834,297.469717979431,50.6077090673685,5.87795265704366
13,355,834,281.905950546265,40.4273691798695,6.97314607072274
14,3289,3884,280.562286376953,17.8885438199983,15.6839086065408
15,49,355,214.617385864258,33.5410196624969,6.39865418594377
16,3480,3497,210.502996444702,15.6524758424985,13.4485431290786
17,49,463,208.911570549011,33.5410196624969,6.22853964045109
18,49,80,143.700745582581,27.8328157299975,5.16299705270939
19,3250,3863,138.983731269836,18.4809029672447,7.5203972184784
20,2421,3376,135.550881385803,20.3027573823714,6.67647644272694
21,2618,3250,126.52478313446,10.3584854723723,12.214602556708
22,80,463,123.819795608521,18.0666894048716,6.85348559626718
23,1053,1429,123.051949501038,22.3606797749979,5.50305047696383
24,1899,3289,122.563386917114,14.1803398874989,8.64319105814687
25,488,752,120.562430381775,14.8306214273718,8.12929053392606
26,1899,3138,89.5362854003906,3.65028153987288,24.5285971567849
27,3289,3455,88.7747421264648,1.4142135623731,62.7732221557104
28,1053,2618,71.6045951843262,9.94427190999916,7.20058701455321
29,834,849,59.1639285087585,10.3584854723723,5.71163889417601
30,3250,3972,58.9279518127441,3.23606797749979,18.2097385538459
31,463,849,54.6292457580566,6.47213595499958,8.44068266456251
32,1429,2421,45.7145347595215,8.12241749487247,5.62819318120255
33,3480,3884,42.3269205093384,5.88634951737268,7.19069100202372
34,849,1589,32.0014877319336,5.88634951737268,5.43655921849119
35,16,80,14.8720808029175,2.23606797749979,6.65099672843863
36,220,355,12.3267002105713,1.4142135623731,8.7162933085486
37,3250,3376,11.6166114807129,1,11.6166114807129
38,1589,1869,8.93246650695801,1.4142135623731,6.31620763979172
